День_тижня,Час_пари,Важливість_у_навчанні,Важливість_у_житті,Строгість_викладача,Відмічають_присутність,Дощ,Температура,Контрольна_або_залік,Вихідний_напередодні,Вихідний_завтра,Подія,Тижнів_до_екзамену,Попередня_пара,Наступна_пара,Тип_пари,Відвідуваність
Четвер,13:30,1,5,4,1,1,-7,0,0,0,0,6,1,1,Лекція,24
Понеділок,10:10,1,4,2,1,1,35,0,1,1,0,10,1,0,Лабораторна,23
Пʼятниця,18:10,1,5,2,1,1,26,0,0,1,0,13,1,0,Лекція,21
Вівторок,13:30,3,4,3,0,0,14,0,1,1,0,1,0,1,Лекція,31
Вівторок,11:50,3,4,3,1,1,29,1,1,1,0,10,1,0,Лекція,36
Вівторок,18:10,3,5,1,0,0,12,0,0,0,0,7,1,1,Лекція,25
Пʼятниця,19:40,3,4,2,0,1,4,0,0,1,0,0,1,0,Лабораторна,31
Пʼятниця,13:30,1,1,5,1,1,8,0,1,0,0,7,1,0,Лабораторна,27
Середа,11:50,3,2,3,1,0,1,1,0,0,0,0,0,1,Лекція,39
Пʼятниця,15:05,1,1,2,1,1,27,0,1,1,0,1,0,0,Лекція,21
Середа,8:30,5,4,2,1,1,24,0,1,0,0,2,1,0,Лекція,27
Понеділок,13:30,4,4,4,1,0,-5,0,0,1,0,2,0,0,Лекція,36
Пʼятниця,10:10,3,4,3,1,1,12,0,1,0,0,12,0,1,Лабораторна,33
Понеділок,18:10,1,4,3,0,1,3,0,1,1,0,2,0,0,Лекція,18
Пʼятниця,15:05,4,5,4,1,0,24,0,0,1,0,10,1,0,Лекція,39
Вівторок,15:05,2,3,2,1,0,7,0,0,0,0,14,0,0,Лабораторна,34
Середа,16:40,5,5,4,0,0,9,0,0,1,0,13,1,0,Лекція,29
Понеділок,15:05,5,1,4,0,1,32,0,1,1,0,12,1,0,Лекція,23
Середа,13:30,3,4,1,1,1,-3,0,0,0,0,4,1,0,Лекція,23
Четвер,19:40,4,3,4,1,0,8,0,0,1,0,0,0,0,Лабораторна,40
Пʼятниця,16:40,5,3,3,0,1,21,1,1,1,0,7,0,0,Лекція,36
Пʼятниця,16:40,1,1,4,1,1,34,0,0,0,0,7,1,0,Лабораторна,25
Пʼятниця,11:50,4,1,3,0,0,16,0,0,0,0,5,1,0,Лекція,25
Середа,11:50,2,2,3,1,0,10,0,0,1,1,7,1,1,Лекція,18
Понеділок,16:40,5,2,5,1,0,33,0,0,1,0,14,1,0,Лекція,36
Вівторок,19:40,1,2,4,1,1,16,0,0,1,0,1,0,1,Лекція,26
Четвер,11:50,3,4,3,0,0,5,0,0,1,0,0,1,1,Лекція,32
Субота,18:10,3,4,1,0,1,21,0,1,1,0,15,1,1,Лекція,18
Вівторок,10:10,2,1,1,0,0,26,0,1,0,0,5,0,1,Лабораторна,27
Середа,11:50,2,3,4,1,1,-10,0,0,1,0,8,1,0,Лабораторна,32
Середа,13:30,3,2,4,1,0,20,0,0,1,0,10,0,0,Лекція,33
Пʼятниця,19:40,2,5,4,0,1,4,0,1,0,0,12,1,1,Лабораторна,29
Четвер,13:30,5,1,3,1,1,9,0,0,1,0,5,0,0,Лабораторна,35
Середа,18:10,1,3,2,0,0,13,0,0,0,0,1,1,0,Лекція,24
Понеділок,16:40,2,1,2,1,0,16,0,1,1,0,8,1,1,Лекція,18
Четвер,18:10,3,3,2,1,1,26,0,1,1,0,9,0,1,Лабораторна,27
Вівторок,11:50,3,1,5,1,0,20,0,0,1,0,7,1,1,Лекція,32
Четвер,19:40,4,2,4,0,1,8,1,1,1,0,7,1,0,Лабораторна,35
Четвер,10:10,3,2,5,0,1,19,0,0,1,0,12,0,1,Лекція,27
Субота,19:40,1,2,1,0,0,-1,0,1,1,0,10,1,1,Лекція,13
Вівторок,15:05,5,4,2,1,0,34,0,0,1,0,2,1,1,Лекція,30
Пʼятниця,8:30,2,3,4,0,0,7,0,1,0,0,0,0,0,Лекція,30
Четвер,18:10,4,5,2,0,1,30,0,0,0,0,14,0,1,Лекція,27
Пʼятниця,18:10,1,1,1,1,0,4,1,1,0,0,6,1,0,Лекція,22
Середа,8:30,1,1,3,0,0,24,0,1,0,0,15,0,0,Лабораторна,24
Середа,18:10,2,5,1,0,0,28,0,0,0,0,10,0,1,Лекція,24
Пʼятниця,16:40,3,2,4,1,0,28,0,0,1,0,12,0,1,Лекція,31
Четвер,16:40,5,2,4,0,0,-3,1,0,0,0,5,0,0,Лекція,37
Четвер,10:10,1,1,1,1,1,35,0,0,1,0,12,0,1,Лекція,13
Четвер,13:30,2,1,4,1,0,26,0,0,1,0,10,0,0,Лабораторна,31
Субота,13:30,2,5,3,1,0,-9,0,0,0,0,3,0,0,Лабораторна,36
Пʼятниця,15:05,5,1,3,1,1,10,0,0,1,0,12,0,0,Лабораторна,34
Пʼятниця,16:40,5,2,1,0,0,14,1,0,0,0,4,1,1,Лабораторна,39
Субота,15:05,3,4,1,0,0,-5,0,0,1,0,3,0,1,Лекція,21
Четвер,11:50,5,2,3,1,1,25,0,1,0,1,5,1,0,Лекція,21
Пʼятниця,10:10,1,1,5,0,1,31,0,1,1,0,9,0,0,Лабораторна,26
Понеділок,8:30,2,1,5,1,0,17,0,0,0,0,1,1,1,Лабораторна,39
Середа,10:10,3,3,4,0,0,10,0,0,1,0,0,0,1,Лекція,31
Субота,18:10,1,2,5,1,1,-10,0,0,1,0,10,0,1,Лекція,23
Пʼятниця,13:30,4,3,2,0,1,7,0,0,1,0,1,0,0,Лабораторна,36
Понеділок,8:30,4,5,3,1,1,14,0,1,0,0,5,1,1,Лекція,28
